Geneid	G10	G11	G15	G16	G3	G4	G5	G8	G9	KP0B	KP0	KP1B	KP1	KP2B	KP2	KP4B	KP4	KP6B	KP6	WP2	WP6
Gm6119	0	0	1	0	0	4	0	0	0	0	0	1	3	0	0	0	0	1	1	0	2
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Gm6123	8	168	389	198	164	10	71	190	171	141	4	13	11	3	10	10	4	189	17	14	178
Mrpl15	912	1146	1153	985	1637	1094	944	1089	723	825	622	885	847	1195	800	1140	690	1418	892	1102	1257
Gm37144	41	71	29	29	27	55	41	8	13	18	12	9	15	29	1	21	8	17	26	12	12
Lypla1	2551	2788	3247	3821	4726	2896	2938	3282	2335	2451	1666	2502	1657	2838	1892	2272	1915	2554	2565	2874	2896
Gm37988	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
Tcea1	1437	1228	1399	1548	1992	1196	1074	2105	1333	1233	768	1239	1118	1541	1040	1203	721	1552	1057	1538	1828
Gm6104	10	1	5	1	6	7	7	8	3	4	3	6	6	6	3	8	6	12	1	3	6
Gm37277	4	0	5	0	0	1	0	0	6	0	2	0	0	0	1	1	0	0	0	0	1
Rgs20	0	0	3	8	0	0	0	0	3	3	0	0	0	0	0	2	0	13	2	1	0
Gm17100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Gm16041	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	1419	1084	1510	1724	1478	972	931	1690	1161	1067	892	1320	1054	1575	1081	1477	922	1675	1388	1532	1745
Gm7182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	3	13	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	2079	985	2032	2661	1063	1651	1580	1881	1973	1666	1129	1682	1079	1332	1217	1195	557	1329	413	1760	1743
4732440D04Rik	130	0	121	192	32	175	65	34	125	69	40	98	27	83	47	67	22	56	39	47	85
Alkal1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Gm2147	0	0	3	0	4	1	0	0	0	1	0	0	0	3	0	2	0	0	0	1	0
Gm7417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19026	2	4	0	0	0	5	3	2	0	0	0	0	0	7	1	0	0	0	1	5	3
St18	63	119	92	179	28	79	67	43	63	31	18	38	25	45	32	52	21	79	40	56	55
Gm42492	2	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	4	2	0	0	0
Gm7449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108	1	3	0	1	0	2	0	3	1	2	0	2	2	4	0	0	0	0	1	1	1
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	1794	602	1111	1193	385	940	932	1502	1812	1096	764	1272	812	1116	649	764	475	809	419	1305	1293
Gm26983	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0
Gm38372	99	16	35	48	8	63	49	27	72	82	39	72	21	57	17	50	10	74	4	18	78
Gm9826	5	9	1	5	13	3	1	9	7	10	5	6	5	5	5	11	7	2	10	5	12
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	22	5	15	10	4	14	9	4	28	0	7	16	6	12	3	12	13	4	8	4	22
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414	15	0	1	8	4	2	3	13	6	13	11	18	3	20	12	13	4	12	4	21	16
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	1	0	0	2	0	0	0	0	1	2	2	6	1	1	5	4	2	8	0	0	6
Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	0	1	4	2	7	0	4	3	4	6	2	2	1	10	1	8	1	4	1	9	8
Gm36964	5	5	7	0	7	1	4	5	2	4	2	5	7	3	4	3	3	6	3	3	5
Gm24276	0	8	1	0	2	0	0	4	1	1	0	5	1	1	0	0	0	1	1	2	1
Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Gm7493	3	0	1	0	0	0	0	1	0	0	0	1	1	2	6	3	0	0	2	2	3
Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Rrs1	437	506	499	381	424	497	390	866	442	729	421	581	581	986	626	882	492	1043	773	921	1093
Adhfe1	47	13	12	22	11	13	4	65	53	47	19	49	37	34	18	21	18	30	26	51	37
2610203C22Rik	3	0	1	0	0	6	2	0	2	1	1	0	1	2	1	0	0	0	0	0	2
Gm6161	0	0	1	1	1	1	3	5	0	0	1	0	0	0	0	2	2	1	0	0	1
Vxn	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	77	14	70	59	36	167	61	55	104	58	33	37	25	69	37	61	34	65	24	64	161
Vcpip1	1280	628	1516	1546	1035	1441	1222	1415	1237	1198	783	1190	911	1283	991	1274	692	1237	764	1326	1385
1700034P13Rik	12	15	10	13	24	15	18	13	8	8	5	7	1	14	19	7	7	16	14	10	9
Sgk3	147	42	55	136	167	251	201	115	114	82	42	64	65	116	63	91	47	93	91	92	118
Gm6195	1	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	1	0	0	1
Gm22607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	8	0	0	2	0	8	6	0	2	1	0	3	0	2	0	0	0	4	9	3	4
Snhg6	144	137	115	137	302	256	161	156	93	130	94	219	141	263	162	258	157	309	192	203	307
Snord87	2	0	0	0	0	3	3	0	0	0	3	0	0	1	0	0	0	0	1	0	0
Tcf24	10	11	11	6	15	16	24	13	13	8	4	4	6	2	8	38	14	28	12	7	27
E330040D14Rik	0	0	0	0	0	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0
Ppp1r42	0	0	0	6	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	4
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Cops5	1234	1353	1355	1428	1962	1110	967	1830	1103	1249	823	1277	952	1383	1096	1464	951	1851	1248	1541	1643
Cspp1	800	277	577	629	223	754	626	411	828	527	351	561	284	671	267	565	277	563	318	485	740
1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Arfgef1	6661	3708	9030	10075	3514	6008	5423	7202	6554	5219	3577	5854	4431	6353	5075	6113	2763	7212	2372	6107	6524
Gm26348	6	0	3	3	0	4	2	0	4	3	2	0	2	6	0	2	5	10	0	0	4
Gm37569	0	0	0	1	0	2	0	0	0	2	11	4	0	0	3	7	0	7	3	0	4
Cpa6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm38005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	10	0	5	1	2	6	1	0	6	11	1	3	1	3	4	1	0	0	1	0	2
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	5	1	0	0
Gm38178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560	2	16	6	1	3	2	2	2	7	0	5	1	0	2	5	2	0	4	1	4	0
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	12	5	6	17	10	25	3	12	12	1	5	1	13	11	9	42	13	60	31	12	34
Slco5a1	9	30	11	2	11	12	6	38	4	16	10	10	8	4	8	17	7	35	1	12	20
Gm37162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	19	0	14	3	9	2	2	11	12	4	4	5	11	17	6	6	4	11	9	17	19
Ncoa2	1666	646	1550	1850	936	1590	1554	1822	1628	1556	1082	1757	1173	1961	1340	1646	1211	1630	1394	2072	2040
Gm38376	1	0	0	0	0	0	4	0	0	2	2	2	0	4	0	1	2	3	0	1	0
Gm37409	0	0	0	0	0	1	0	0	0	3	3	0	0	2	0	1	0	0	4	1	1
Gm27881	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0
Gm37702	0	0	0	1	2	0	0	0	0	0	2	0	0	2	0	0	1	1	1	1	0
Gm23169	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Gm38120	6	0	0	0	0	0	0	0	3	6	7	13	1	13	0	19	4	13	7	1	8
Gm38380	1	0	1	1	1	2	0	0	0	5	1	1	1	7	2	17	3	10	1	3	7
Gm29570	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
Gm7593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tram1	3238	2491	3860	4049	3313	3544	3010	3677	2773	2590	1859	3242	2625	3975	2828	3955	2327	4049	3652	3375	3936
Lactb2	1009	626	979	1174	770	937	666	925	888	841	509	872	799	1344	766	954	625	1400	947	893	1163
Gm38319	14	6	9	13	1	14	13	2	15	5	3	4	7	12	7	16	11	9	13	8	8
Xkr9	96	358	671	851	1084	517	425	94	70	99	38	202	117	476	347	532	430	536	495	97	92
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
Gm36947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	1	0	1	1	0	6	1	0	1	0	0	0	0	1	1	0	0	0	0	0	9
Gm22616	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	3	0	3
Gm37412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	0	0	0	0	0	0	0	1	4	0	1	0	0	1	2	1	0	1	0	1	0
Rpl5-ps1	11	26	13	3	20	4	15	10	5	24	10	14	7	8	10	11	2	17	13	18	11
Trpa1	0	0	10	15	2	11	8	0	0	0	0	0	0	0	0	6	4	11	4	2	0
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	1	0	0	0	0	2	0	1	0	5	0	1	1	3	3	4	2	0	0	0	0
Kcnb2	6	2	6	5	0	15	15	11	3	7	4	23	5	13	7	15	7	8	5	13	21
Gm38116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	361	255	345	280	387	269	229	523	333	334	225	358	195	306	246	402	167	497	248	396	527
Gm37509	2	0	0	0	0	3	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Sbspon	0	0	0	0	0	0	1	1	0	0	1	2	6	1	0	0	0	0	0	0	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0
Rpl7	12647	21371	12307	13218	23771	8464	10498	21241	10771	13375	9165	13941	11824	14302	9277	11369	8791	15701	10661	17321	17100
Rdh10	1022	389	685	766	282	532	420	785	713	654	473	748	583	832	410	663	467	552	581	588	668
Gm38249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28095	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	519	176	365	424	172	196	255	536	410	379	239	385	397	607	362	409	253	532	453	559	514
Gm7568	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ube2w	533	452	505	405	361	379	353	626	509	394	292	431	352	515	352	313	274	397	372	547	488
Gm38342	1	0	2	0	0	0	5	0	1	2	0	3	2	3	0	1	3	5	5	4	3
Eloc	553	610	650	659	1016	532	430	718	574	521	444	562	463	642	544	709	442	937	543	666	793
D030040B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm7654	1	0	1	2	0	0	3	3	3	1	0	1	0	0	0	0	0	0	0	1	0
Tmem70	858	1134	913	936	1442	750	540	1391	858	840	686	929	758	981	819	933	673	1234	929	1207	1124
Ly96	59	53	96	108	93	71	70	75	67	79	45	65	54	94	59	89	59	78	66	84	76
Gm29649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828	3	0	2	1	3	2	0	1	3	3	4	1	0	1	1	2	5	2	6	1	3
Gm28376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	3	0	4	10	1	4	1	3	0	4	4	2	0	7	7	6	1	2	3	3	4
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	1	0	0	0	0	2	0	1	3	2	1	0	0	0	4	0	0	0	5	0	3
Gm28784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm6-ps1	3	0	6	5	0	5	2	1	6	0	0	3	3	3	5	3	0	3	3	5	1
Gm6075	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
Gm28154	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0
Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7690	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075	0	0	1	2	1	1	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0
Tfap2b	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	1	2	0
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	89	25	33	49	73	74	85	51	118	132	85	183	67	199	80	109	54	65	100	111	76
Gm37315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15795	0	5	7	0	7	0	1	4	1	2	0	2	1	0	2	1	0	1	0	0	2
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	1	0	0	3	12	0	0	1	0	0	0	2	0	0	7	0	1	3	0	2	0
Il17f	1	0	0	13	0	3	3	0	0	1	1	0	0	0	1	1	1	0	1	2	1
Mcm3	1002	820	870	774	979	794	834	1696	895	639	479	829	997	1354	814	1412	744	1851	1091	1023	1719
Gm20587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	3	0	0	0	0	0	0	0	3	6	0	0	0	2	1	0	0	0	0	2	2
Paqr8	948	95	270	329	93	166	144	803	929	1113	830	1234	515	1127	626	501	783	486	498	1062	1233
Gm24171	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	1
Gm28064	1	0	1	0	0	0	0	4	2	3	0	3	0	0	0	0	1	0	1	0	2
Efhc1	18	0	11	3	0	0	3	14	14	22	9	14	13	11	3	6	13	7	3	16	12
Tram2	88	28	60	143	212	577	695	118	73	63	60	62	42	105	92	95	120	72	61	152	156
Gm28287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2693	5	0	4	0	5	2	5	0	0	0	0	0	2	1	1	0	0	0	4	1	0
Tmem14a	50	37	70	46	40	104	68	29	34	34	22	40	25	41	13	43	26	54	45	47	51
Gm38224	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsta3	91	351	335	325	590	191	181	569	97	157	19	53	78	314	210	376	541	1401	1146	82	144
Gm28836	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
